"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"618",50645,NA,929,NA
"619",50647,NA,1664,NA
"620",50650,NA,639,NA
"621",50652,NA,91,NA
"622",50653,NA,626,NA
"623",50654,NA,379,NA
"624",50655,NA,740,NA
"625",50660,NA,1330,NA
"626",50664,NA,65,NA
"627",50666,NA,1128,NA
"628",50668,NA,1265,NA
"629",50670,NA,2339,NA
"630",50671,NA,173,NA
"631",50672,NA,513,NA
"632",50673,NA,162,NA
"633",50681,NA,397,NA
"634",50835,NA,117,NA
"635",50836,NA,337,NA
"636",50837,NA,254,NA
"637",50839,NA,37,NA
"638",50840,NA,561,NA
"639",50842,NA,100,NA
"640",50843,NA,658,NA
"641",50845,NA,842,NA
"642",50847,NA,100,NA
"643",50848,NA,416,NA
"644",50853,NA,681,NA
"645",50857,NA,215,NA
"646",50858,NA,726,NA
"647",50859,NA,660,NA
"648",50860,NA,392,NA
"649",50861,NA,249,NA
"650",50862,NA,167,NA
"651",50863,NA,308,NA
"652",51006,NA,1012,NA
"653",51007,NA,599,NA
"654",51008,NA,105,NA
"655",51009,NA,187,NA
"656",51010,NA,365,NA
"657",51011,NA,82,NA
"658",51014,NA,490,NA
"659",51016,NA,1290,NA
"660",51018,NA,424,NA
"661",51019,NA,868,NA
"662",51020,NA,682,NA
"663",51022,NA,794,NA
"664",51024,NA,1907,NA
"665",51026,NA,825,NA
"666",51029,NA,356,NA
"667",51030,NA,1537,NA
"668",51033,NA,326,NA
"669",51036,NA,755,NA
"670",51037,NA,520,NA
"671",51039,NA,2528,NA
"672",51044,NA,203,NA
